action,frequency,type_condition,content_condition,composite_conditions,type_action
TakeAdditionalPhotoAppearancePackageSuccess,14,['Existence check'],['Business rule conditions'],,Integration
updateWeight,14,"['Data integrity', 'Data range']",['State/status conditions'],,Transformation
shopSigningHandover,11,"['Existence check', 'Data integrity']",['State/status conditions'],,Integration
shopRequestChangeCusName,10,"['Data integrity', 'Data format']",['Business rule conditions'],,Integration
updateToReturningStatus,9,['State/status conditions'],['Business rule conditions'],,Transformation
shopRequestChangeCusTel,9,"['Data integrity', 'Data format']",['Business rule conditions'],,Transformation
RequestRedeliverAction,8,['Existence check'],['Business rule conditions'],,Integration
updatePickWorkshiftByCod,7,['Timing conditions'],['Business rule conditions'],,Transformation
takeOutOnePackageFromBag,5,"['Existence check', 'Data integrity']",['State/status conditions'],,Transformation
blockPutToBag,5,['Existence check'],"['State/status conditions', 'Business rule conditions']",,Logic
updateNotDeliveredByPostOffice,5,['State/status conditions'],['Business rule conditions'],,Transformation
TakeAdditionalPhotoAppearancePackageFailed,4,['Data integrity'],['State/status conditions'],,Integration
CODUpdatePickMoney,4,"['Data range', 'Existence check']",['Business rule conditions'],,Transformation
assignDeliverCodForPackage,4,"['Existence check', 'Data integrity']",['State/status conditions'],,Transformation
createIssueForDteam,4,"['Existence check', 'Timing conditions']",['Business rule conditions'],,Integration
TakeAPhotoFullDelivery,4,['Existence check'],"['Resource/Capacity conditions', 'Authentication/Authorization conditions']",AND,Integration
applyDiscountCoupon,3,['Existence check'],['Business rule conditions'],,Transformation
changePickAddress,3,"['Data integrity', 'Data format', 'Existence check']",['Business rule conditions'],,Transformation
updateDelayDeliveringByPostOffice,3,['Data integrity'],['State/status conditions'],,Transformation
LosePackageByPostOffice,2,"['Existence check', 'Data integrity', 'Timing conditions']",['State/status conditions'],,Integration
returnPackageAtStation,2,['Existence check'],['Resource/Capacity conditions'],,Integration
putPackages2QsBag,2,['Existence check'],['Resource/Capacity conditions'],,Integration
changePackagesTransport,1,"['Data range', 'Data format']",['Business rule conditions'],AND,Transformation
exportBigSizeReturnPackages,1,['Existence check'],['State/status conditions'],,Integration
cancelNewPackage,1,['Existence check'],['Business rule conditions'],,Transformation
